x,y
-125.91378021240234,-533.5009155273438
-124.70166015625,-528.9796752929688
-123.2805404663086,-524.4684448242188
-121.83707427978516,-519.7211303710938
-120.4864501953125,-514.981689453125
-118.93605041503906,-509.2435302734375
-117.65672302246094,-504.4084777832031
-116.05704498291016,-498.33154296875
-114.48678588867188,-492.3655700683594
-113.21021270751953,-487.6097106933594
-111.80075073242188,-483.1971740722656
-110.24383544921875,-479.22174072265625
-108.18717193603516,-475.0396423339844
-105.93231964111328,-471.4912414550781
-104.05689239501953,-469.21142578125
-101.76129913330078,-467.0455017089844
-99.49933624267578,-465.52490234375
-97.32063293457031,-464.5390930175781
-95.67642974853516,-464.070068359375
-93.80878448486328,-463.55126953125
-91.88457489013672,-463.05029296875
-90.14420318603516,-462.5968322753906
-88.2620620727539,-462.1053771972656
-85.94165802001953,-461.498779296875
-83.42210388183594,-460.84014892578125
-81.19029235839844,-460.2567138671875
-78.83419036865234,-459.7904968261719
-75.79984283447266,-459.3875427246094
-72.57823944091797,-459.0377502441406
-69.76910400390625,-458.7521057128906
-66.2952651977539,-458.6588134765625
-63.00715255737305,-458.8206787109375
-60.06863784790039,-459.1629638671875
-57.41385269165039,-459.6116943359375
-54.91658401489258,-460.4220886230469
-52.8820686340332,-461.2366027832031
-50.741477966308594,-462.5441589355469
-48.968441009521484,-463.9411926269531
-47.310062408447266,-465.4610900878906
-45.98336410522461,-467.1302185058594
-44.88220977783203,-468.81182861328125
-44.00849151611328,-470.70819091796875
-43.311771392822266,-472.278076171875
-42.53196716308594,-473.90814208984375
-41.4511604309082,-475.8680419921875
-40.47701644897461,-477.65045166015625
-39.540523529052734,-479.7193908691406
-38.52427291870117,-482.14508056640625
-37.61298370361328,-484.8898010253906
-36.80389404296875,-487.6758117675781
-36.15809631347656,-490.6101989746094
-35.74806213378906,-493.7560119628906
-35.52479553222656,-496.91900634765625
-35.39056396484375,-500.2676086425781
-35.29042434692383,-503.6852111816406
-35.19815444946289,-507.191162109375
-35.12164306640625,-510.33831787109375
-35.07255935668945,-514.5875244140625
-35.058929443359375,-518.2877197265625
-35.13985061645508,-522.227294921875
